player,team,goals
Lionel Andrés Messi Cuccittini,Argentina,9
Kylian Mbappé Lottin,France,9
Julián Álvarez,Argentina,4
Olivier Giroud,France,4
Richarlison de Andrade,Brazil,3
Gonçalo Matias Ramos,Portugal,3
Cody Mathès Gakpo,Netherlands,3
Enner Remberto Valencia Lastra,Ecuador,3
Bukayo Saka,England,3
Marcus Rashford,England,3
Wout Weghorst,Netherlands,3
Álvaro Borja Morata Martín,Spain,3
Nikola Vlašić,Croatia,2
Giorgian Daniel De Arrascaeta Benedetti,Uruguay,2
Gonzalo Ariel Montiel,Argentina,2
Ferrán Torres García,Spain,2
Aleksandar Mitrović,Serbia,2
Lovro Majer,Croatia,2
Leandro Daniel Paredes,Argentina,2
Hakim Ziyech,Morocco,2
Harry Kane,England,2
Kai Havertz,Germany,2
Vincent Paté Aboubakar,Cameroon,2
Ritsu Doan,Japan,2
Rafael Alexandre Conceição Leão,Portugal,2
Mehdi Taremi,Iran,2
Mislav Oršić,Croatia,2
Niclas Füllkrug,Germany,2
Gue-Sung Cho,South Korea,2
Bruno Miguel Borges Fernandes,Portugal,2
Carlos Henrique Casimiro,Brazil,2
Breel-Donald Embolo,Switzerland,2
Andrej Kramarić,Croatia,2
Salem Mohammed Al Dawsari,Saudi Arabia,2
Mohammed Kudus,Ghana,2
Neymar da Silva Santos Junior,Brazil,2
Randal Kolo Muani,France,2
Takuma Asano,Japan,2
Youssef En-Nesyri,Morocco,2
Robert Lewandowski,Poland,2
Abdelhamid Sabiri,Morocco,1
Carlos Soler Barragán,Spain,1
Cristiano Ronaldo dos Santos Aveiro,Portugal,1
Craig Goodwin,Australia,1
Christian Pulisic,United States,1
Cheikh Ahmadou Bamba Mbacke Dieng,Senegal,1
Davy Klaassen,Netherlands,1
Daley Blind,Netherlands,1
Daizen Maeda,Japan,1
Famara Diedhiou,Senegal,1
Enzo Fernandez,Argentina,1
Dušan Vlahović,Serbia,1
Denzel Dumfries,Netherlands,1
Daniel Olmo Carvajal,Spain,1
Bruno Petković,Croatia,1
Aurélien Djani Tchouaméni,France,1
Ao Tanaka,Japan,1
Andreas Christensen,Denmark,1
Alphonso Davies,Canada,1
Alexis Mac Allister,Argentina,1
André Ayew Pelé,Ghana,1
Boulaye Dia,Senegal,1
Adrien Rabiot,France,1
Achraf Hakimi Mouh,Morocco,1
Achraf Dari,Morocco,1
Lucas Tolentino Coelho de Lima,Brazil,1
Keysher Fuller Spence,Costa Rica,1
Kléper Laveran Lima Ferreira,Portugal,1
Lautaro Javier Martínez,Argentina,1
Joško Gvardiol,Croatia,1
João Félix Sequeira,Portugal,1
Jude Bellingham,England,1
Kalidou Koulibaly,Senegal,1
Jordan Brian Henderson,England,1
Jean-Eric Maxim Choupo-Moting,Cameroon,1
Hee-Chan Hwang,South Korea,1
Henry Josué Martín Mex,Mexico,1
Ismaïla Sarr,Senegal,1
Ivan Perišić,Croatia,1
Jack Grealish,England,1
Jean-Charles Castelletto,Cameroon,1
Frenkie de Jong,Netherlands,1
Haji Wright,United States,1
Gareth Frank Bale,Wales,1
Mitchell Thomas Duke,Australia,1
Marko Livaja,Croatia,1
Mathew Leckie,Australia,1
Michy Batshuayi Tunga,Belgium,1
Memphis Depay,Netherlands,1
Mohamed Salisu,Ghana,1
Marco Asensio Willemsen,Spain,1
Mario Pašalić,Croatia,1
Luis Gerardo Chávez Magallón,Mexico,1
Manuel Obafemi Akanji,Switzerland,1
Marcelo Brozović,Croatia,1
Luuk de Jong,Netherlands,1
Luka Modrić,Croatia,1
Raheem Sterling,England,1
Piotr Zieliński,Poland,1
Philip Foden,England,1
Pedro Guilherme Abreu dos Santos,Brazil,1
Pablo Martín Páez Gavira,Spain,1
Paulo Bruno Exequiel Dybala,Argentina,1
Osman Bukari,Ghana,1
Moisés Isaac Caicedo Corozo,Ecuador,1
Nahuel Molina Lucero,Argentina,1
Mohammed Muntari,Qatar,1
Roozbeh Cheshmi,Iran,1
Romain Saïss,Morocco,1
Ricardo Jorge Luz Horta,Portugal,1
Remo Freuler,Switzerland,1
Ramin Rezaeian,Iran,1
Raphaël Adelino José Guerreiro,Portugal,1
Strahinja Pavlović,Serbia,1
Seung-Ho Paik,South Korea,1
Sergej Milinković-Savić,Serbia,1
Serge Gnabry,Germany,1
Saleh Khalid Al Shehri,Saudi Arabia,1
Theo Bernard François Hernández,France,1
Timothy Weah,United States,1
Teun Koopmeiners,Netherlands,1
Wahbi Khazri,Tunisia,1
Vinícius José Paixão de Oliveira Júnior,Brazil,1
Yeltsin Ignacio Tejeda Valverde,Costa Rica,1
Xherdan Shaqiri,Switzerland,1
Young-Gwon Kim,South Korea,1
Zakaria Aboukhlal,Morocco,1
Ángel Fabián Di María Hernández,Argentina,1
İlkay Gündoğan,Germany,1
