Team,Goals Scored,Goals Conceded,Matches,Avg Goals Scored,Avg Goals Conceded
Argentina,15,8,7,2.142857142857143,1.1428571428571428
Australia,4,6,4,1.0,1.5
Belgium,1,2,3,0.3333333333333333,0.6666666666666666
Brazil,8,3,5,1.6,0.6
Cameroon,4,4,3,1.3333333333333333,1.3333333333333333
Canada,2,7,3,0.6666666666666666,2.3333333333333335
Costa Rica,3,11,3,1.0,3.6666666666666665
Croatia,8,7,7,1.1428571428571428,1.0
Denmark,1,3,3,0.3333333333333333,1.0
Ecuador,4,3,3,1.3333333333333333,1.0
England,13,4,5,2.6,0.8
France,16,8,7,2.2857142857142856,1.1428571428571428
Germany,6,5,3,2.0,1.6666666666666667
Ghana,5,7,3,1.6666666666666667,2.3333333333333335
Iran,4,7,3,1.3333333333333333,2.3333333333333335
Japan,5,4,4,1.25,1.0
Mexico,2,3,3,0.6666666666666666,1.0
Morocco,6,5,7,0.8571428571428571,0.7142857142857143
Netherlands,10,4,5,2.0,0.8
Poland,3,5,4,0.75,1.25
Portugal,12,6,5,2.4,1.2
Qatar,1,7,3,0.3333333333333333,2.3333333333333335
Saudi Arabia,3,5,3,1.0,1.6666666666666667
Senegal,5,7,4,1.25,1.75
Serbia,5,8,3,1.6666666666666667,2.6666666666666665
South Korea,5,8,4,1.25,2.0
Spain,9,3,4,2.25,0.75
Switzerland,5,9,4,1.25,2.25
Tunisia,1,1,3,0.3333333333333333,0.3333333333333333
United States,3,4,4,0.75,1.0
Uruguay,2,2,3,0.6666666666666666,0.6666666666666666
Wales,1,6,3,0.3333333333333333,2.0
